collection_date,collection_day_status,collection_note,is_model_baseline_day,is_partial_day,collection_coverage_hours,raw_csv_rows,cleaned_rows,duplicate_header_rows,unique_routes,unique_trips,first_collection_time_utc,last_collection_time_utc,delay_outliers_abs_gt_120,source_file
2026-05-06,partial_or_interrupted,startup partial,False,True,0.5,3944,3944,0,156,1293,2026-05-06 09:34:55+00:00,2026-05-06 10:04:57+00:00,0,gtfs_realtime_2026-05-06.csv
2026-05-07,partial_or_interrupted,startup partial,False,True,7.91,8856,8856,0,172,1784,2026-05-07 08:58:25+00:00,2026-05-07 16:52:55+00:00,8,gtfs_realtime_2026-05-07.csv
2026-05-08,partial_or_interrupted,startup partial,False,True,12.43,59418,59418,0,460,8372,2026-05-08 02:16:58+00:00,2026-05-08 14:42:52+00:00,1,gtfs_realtime_2026-05-08.csv
2026-05-09,likely_complete,,True,False,21.97,110264,110264,0,167,11256,2026-05-09 01:54:06+00:00,2026-05-09 23:52:34+00:00,13,gtfs_realtime_2026-05-09.csv
2026-05-10,likely_complete,,True,False,23.81,132913,132913,0,382,13699,2026-05-10 00:02:34+00:00,2026-05-10 23:51:19+00:00,12,gtfs_realtime_2026-05-10.csv
2026-05-11,likely_complete,,True,False,23.91,162076,162076,0,509,14901,2026-05-11 00:01:20+00:00,2026-05-11 23:55:41+00:00,63,gtfs_realtime_2026-05-11.csv
2026-05-12,partial_or_interrupted,interrupted partial,False,True,18.87,117454,117454,0,458,11794,2026-05-12 00:05:42+00:00,2026-05-12 18:58:10+00:00,0,gtfs_realtime_2026-05-12.csv
2026-05-13,partial_or_interrupted,interrupted partial,False,True,15.59,63275,63275,0,382,8444,2026-05-13 07:48:55+00:00,2026-05-13 23:24:19+00:00,0,gtfs_realtime_2026-05-13.csv
2026-05-14,partial_or_interrupted,interrupted partial,False,True,20.37,84981,84981,0,458,10664,2026-05-14 03:31:27+00:00,2026-05-14 23:53:34+00:00,12,gtfs_realtime_2026-05-14.csv
2026-05-15,likely_complete,,True,False,23.85,120108,120108,0,456,12101,2026-05-15 00:03:34+00:00,2026-05-15 23:54:18+00:00,93,gtfs_realtime_2026-05-15.csv
2026-05-16,likely_complete,,True,False,23.83,134671,134671,0,169,11834,2026-05-16 00:04:19+00:00,2026-05-16 23:54:05+00:00,0,gtfs_realtime_2026-05-16.csv
2026-05-17,likely_complete,,True,False,23.87,150826,150826,0,385,13826,2026-05-17 00:04:06+00:00,2026-05-17 23:56:04+00:00,0,gtfs_realtime_2026-05-17.csv
2026-05-18,likely_complete,,True,False,23.88,162560,162560,0,513,14933,2026-05-18 00:06:05+00:00,2026-05-18 23:58:52+00:00,14,gtfs_realtime_2026-05-18.csv
2026-05-19,likely_complete,,True,False,23.7,180336,180336,0,511,14956,2026-05-19 00:08:52+00:00,2026-05-19 23:50:37+00:00,60,gtfs_realtime_2026-05-19.csv
2026-05-20,likely_complete,,True,False,23.87,178917,178917,0,512,14967,2026-05-20 00:00:38+00:00,2026-05-20 23:52:43+00:00,85,gtfs_realtime_2026-05-20.csv
2026-05-21,likely_complete,,True,False,23.8,128903,128903,0,464,11666,2026-05-21 00:02:44+00:00,2026-05-21 23:50:45+00:00,0,gtfs_realtime_2026-05-21.csv
2026-05-22,likely_complete,,True,False,23.84,146028,146028,0,457,13754,2026-05-22 00:00:46+00:00,2026-05-22 23:50:59+00:00,30,gtfs_realtime_2026-05-22.csv
2026-05-23,likely_complete,,True,False,23.94,106390,106390,0,165,10267,2026-05-23 00:01:00+00:00,2026-05-23 23:57:26+00:00,164,gtfs_realtime_2026-05-23.csv
2026-05-24,likely_complete,,True,False,23.75,152663,152663,0,377,13939,2026-05-24 00:07:27+00:00,2026-05-24 23:52:17+00:00,19,gtfs_realtime_2026-05-24.csv
2026-05-25,likely_complete,,True,False,23.87,152083,152083,0,511,14874,2026-05-25 00:02:17+00:00,2026-05-25 23:54:35+00:00,5,gtfs_realtime_2026-05-25.csv
2026-05-26,likely_complete,,True,False,23.77,168564,168564,0,512,14906,2026-05-26 00:04:36+00:00,2026-05-26 23:50:57+00:00,51,gtfs_realtime_2026-05-26.csv
2026-05-27,partial_or_interrupted,interrupted partial,False,True,17.05,112028,112028,0,459,10557,2026-05-27 00:00:58+00:00,2026-05-27 17:04:14+00:00,22,gtfs_realtime_2026-05-27.csv
2026-05-28,likely_complete,,True,False,22.67,118579,118579,0,454,11935,2026-05-28 01:19:45+00:00,2026-05-28 23:59:40+00:00,12,gtfs_realtime_2026-05-28.csv
2026-05-29,likely_complete,,True,False,23.7,153169,153169,0,459,14271,2026-05-29 00:09:41+00:00,2026-05-29 23:51:34+00:00,96,gtfs_realtime_2026-05-29.csv
2026-05-30,likely_complete,,True,False,23.82,116045,116045,0,166,11535,2026-05-30 00:01:39+00:00,2026-05-30 23:51:00+00:00,0,gtfs_realtime_2026-05-30.csv
2026-05-31,likely_complete,,True,False,23.86,115349,115349,0,166,10990,2026-05-31 00:01:01+00:00,2026-05-31 23:52:54+00:00,42,gtfs_realtime_2026-05-31.csv
2026-06-01,likely_complete,,True,False,23.87,106883,106883,0,382,12199,2026-06-01 00:02:54+00:00,2026-06-01 23:54:55+00:00,25,gtfs_realtime_2026-06-01.csv
2026-06-02,likely_complete,,True,False,23.76,176714,176714,0,513,14973,2026-06-02 00:04:56+00:00,2026-06-02 23:50:44+00:00,48,gtfs_realtime_2026-06-02.csv
2026-06-03,likely_complete,,True,False,23.96,182443,182443,0,511,14981,2026-06-03 00:00:45+00:00,2026-06-03 23:58:22+00:00,71,gtfs_realtime_2026-06-03.csv
2026-06-04,likely_complete,,True,False,23.83,182970,182970,0,512,15049,2026-06-04 00:08:23+00:00,2026-06-04 23:58:22+00:00,39,gtfs_realtime_2026-06-04.csv
2026-06-05,partial_or_interrupted,current/incomplete at audit time,False,True,15.87,115022,115022,0,458,10605,2026-06-05 00:08:22+00:00,2026-06-05 16:00:34+00:00,16,gtfs_realtime_2026-06-05.csv
